,tweets
364,and fair elections weve accepted the outcomes when we may not have liked them and that is what must be expected of anyone standing on a
365,hilary debate answer on delay that is horrifying that is not the way our democracy works been around for 240 years weve had free
366,hilary clinton conceded the election when she called me just prior to the victory speech and after the results were in nothing will change
367,the democrats when they incorrectly thought they were going to win asked that the election night tabulation be accepted not so anymore
368,the green party scam to fill up their coffers by asking for impossible recounts is now being joined by the badly defeated  demoralized dems
369,fidel castro is dead
370,i am working hard even on thanksgiving trying to get carrier ac company to stay in the us indiana making progress  will know son
371,happy thanksgiving to everyone we wil together make america great again
372,let us give thanks for all that we have and let us boldly face the exciting new frontiers that lie ahead happy th…
373,bus crash in tenese so sad  so terrible condolences to all family members and loved ones these beautiful children will be remembered
374,i am seriously considering dr ben carson as the head of hud ive gotten to know him welhe a greatly talented person who loves people
375,the meeting with the  is back on at 1230 today look forward to it
376,jef sesions a fitting selection for attorney general
377,presidentelect donald j trump cia director garners praise
378,great meetings will take place today at trump tower concerning the formation of the people who will run our government for the next 8 years
379,the failing  just announced that complaints about them are at a 15 year high i can fully understand that  but why anounce
380,perhaps a new meeting will be set up with the  in the meantime they continue to cover me inaccurately and with a nasty tone
381,i canceled today meeting with the failing  when the terms and conditions of the meeting were changed at the last moment not nice
382,many people would like to see farage represent great britain as their ambassador to the united states he would do a great job
383,prior to the election it was well known that i have interests in properties all over the worldonly the crooked media makes this a big deal
384,update and policy plans for the first 100 days
385,i have always had a good relationship with chuck schumer he is far smarter than harry r and has the ability to get things done good news
386,general james mad dog matis who is being considered for secretary of defense was very impressive yesterday a true general general
387,i watched parts of  saturday night live last night it is a totally onesided biased show  nothing funny at all equal time for us
388,numerous patriots will be coming to bedminster today as i continue to fill out the various positions necessary to make america great again
389,the cast and producers of hamilton which i hear is highly overated should immediately apologize to mike pence for their terrible behavior
